input,output
"[[{'role': 'user', 'content': ""Help me create a predicate that determines if a `Join` object represents a full master node with a state older than the local node's accepted term of 42 and accepted version of 7?""}]]","[{'VotingOnlyNodePlugin.fullMasterWithOlderState': {'localAcceptedTerm': [42], 'localAcceptedVersion': [7]}}]"
"[[{'role': 'user', 'content': 'play Johnny Johnny Yes papa'}]]","[{'play_spotify_song': {'query': ['Johnny Johnny Yes Papa', 'Johnny Johnny Yes papa'], 'device_id': ['', 'null'], 'play': ['', True]}}]"
"[[{'role': 'user', 'content': ""Help me serialize a `MultiPoint` object with 5 points (1,2) (3,4) (5,6), (7,8) (9,10) into a ByteBuffer using 'XyzmMode.XYZ' for spatial data storage in a HANA database?""}]]","[{'writeMultiPoint': {'multiPoint': ['new MultiPoint(new Point[]{new Point(1, 2), new Point(3, 4), new Point(5, 6), new Point(7, 8), new Point(9, 10)})'], 'xyzmMode': ['XyzmMode.XYZ'], 'buffer': ['ByteBuffer.allocate(1024)']}}]"
"[[{'role': 'user', 'content': ""I'd like to find a World genre Foreign story movie starring Ula Tabari to watch online.""}]]","[{'Media_3_FindMovies': {'genre': ['World'], 'starring': ['Ula Tabari']}}]"
"[[{'role': 'user', 'content': 'Can you explore scientific fiction movies that are available online?'}]]","[{'Media_3_FindMovies': {'genre': ['Sci-fi'], 'starring': ['', 'any']}}]"
"[[{'role': 'user', 'content': ""Help me change the content of a div with the ID 'contentBox' and new content 'Hello World' by invoking the 'update' action?""}]]","[{'contentUpdater': {'elementID': ['contentBox'], 'newContent': ['Hello World'], 'action': ['update']}}]"
"[[{'role': 'user', 'content': 'what services are in the default namespace?'}]]",[{'get_services': {'namespace': ['default']}}]
"[[{'role': 'user', 'content': 'Calculate the future value of an investment with an annual rate of return of 8%, an initial investment of $20000, and a time frame of 5 years.'}]]","[{'finance.calculate_future_value': {'initial_investment': [20000], 'rate_of_return': [0.08], 'years': [5], 'contribution': ['', 0]}}]"
"[[{'role': 'user', 'content': 'voice narration tool prompt ""If you could have dinner with any historical figure, who would you choose and why?, also genart a photo of that figure""'}]]","[{'tts_tool': {'content': ['If you could have dinner with any historical figure, who would you choose and why?, also genart a photo of that figure']}}]"
"[[{'role': 'user', 'content': 'Search me some songs, something country-like.'}]]","[{'Music_3_LookupMusic': {'artist': ['', 'dontcare'], 'album': ['', 'dontcare'], 'genre': ['Country'], 'year': ['', 'dontcare']}}]"
"[{'role': 'user', 'content': ""Can you establish a new database table called 'FiscalPolicy' with the fields 'Year', 'GovernmentSpending', 'TaxRevenue', 'BudgetDeficit', and 'PublicDebt'?""}]","[{'sql.execute': {'sql_keyword': ['CREATE'], 'table_name': ['FiscalPolicy'], 'columns': [['Year', 'GovernmentSpending', 'TaxRevenue', 'BudgetDeficit', 'PublicDebt']]}}]"
"[{'role': 'user', 'content': 'In a physics experiment, a database table named ""ExperimentData"" is used to store the measurements. Each row in the table represents a single measurement and contains columns for \'ExperimentID\', \'MeasurementID\', \'Value\', \'Unit\', and \'Timestamp\'. If a measurement with \'MeasurementID\' of \'M123\' and \'ExperimentID\' of \'E456\' was found to be incorrect, could you remove this specific measurement from the ""ExperimentData"" table? The condition for this operation would be where \'MeasurementID\' equals \'M123\' and \'ExperimentID\' equals \'E456\'.'}]","[{'sql.execute': {'sql_keyword': ['DELETE'], 'table_name': ['ExperimentData'], 'conditions': [[""MeasurementID = 'M123'"", ""ExperimentID = 'E456'""]]}}]"
"[[{'role': 'user', 'content': 'Get me the directions from New York to Los Angeles avoiding highways and toll roads.'}]]","[{'map_service.get_directions': {'start': ['New York', 'New York, NY', 'NYC'], 'end': ['Los Angeles', 'LA'], 'avoid': [['highways', 'tolls'], ['tolls', 'highways']]}}]"
"[[{'role': 'user', 'content': ""I'm interested in a horror movie featuring Gwendoline Christie and directed by Peter Strickland. Can you find one for me?""}]]","[{'Movies_3_FindMovies': {'directed_by': ['Peter Strickland'], 'genre': ['Horror'], 'cast': ['Gwendoline Christie']}}]"
"[[{'role': 'user', 'content': 'My friends and I are taking our yearly trip and I would like some help finding three hotel rooms in Philadelphia please.'}]]","[{'Hotels_4_SearchHotel': {'location': ['Philadelphia, PA'], 'star_rating': ['', 'dontcare'], 'smoking_allowed': ['', False], 'number_of_rooms': [3]}}]"
"[[{'role': 'system', 'content': 'You are a helpful API writer who can write APIs based on requirements.'}, {'role': 'user', 'content': 'who is park ji sung'}]]","[{'HNA_WQA.search': {'keyword': ['Ji Sung Park', 'Park Ji Sung', 'Ji Sung Park footballer', 'Park Ji-sung footballer'], 'result_format': ['', 'text'], 'language': ['', 'EN'], 'max_results': ['', 10]}}]"
"[[{'role': 'user', 'content': 'I am looking for a Science related movie to watch. I prefer something with the actor James Keane that is directed by Steven Spielberg'}]]","[{'Movies_3_FindMovies': {'directed_by': ['Steven Spielberg'], 'genre': ['Sci-fi'], 'cast': ['James Keane']}}]"
"[[{'role': 'user', 'content': 'Could you tell me the forecast for Lagunitas, CA on the upcoming Saturday, specifically 2023-04-15?'}]]","[{'Weather_1_GetWeather': {'city': ['Lagunitas, CA'], 'date': ['2023-04-15']}}]"
